	word	anim	inan	concr	abstr
9384	second_NOUN	0.1942172646522522	0.17917178571224213	0.19164128601551056	0.14862602949142456
9385	snippet_NOUN	0.2691551446914673	0.321463942527771	0.3082329034805298	0.23029494285583496
9386	sprawl_NOUN	0.2794039249420166	0.29035767912864685	0.2903511226177216	0.29344093799591064
9387	story_NOUN	0.1730010062456131	0.18402643501758573	0.18556036055088046	0.16104653477668762
9388	thespian_NOUN	0.3289087414741516	0.3006495237350464	0.33143311738967896	0.2629474997520447
9389	training_NOUN	0.10422756522893906	0.1341254711151123	0.1209232583642006	0.18771892786026
9390	trustee_NOUN	0.12870901823043826	0.16488322615623474	0.15043403208255768	0.16325846314430234
9391	type_NOUN	0.2409292459487915	0.2126312255859375	0.20969212055206302	0.2287497222423553
9392	aspirate_VERB	0.3422237038612366	0.3126027584075928	0.3323900103569031	0.19938108325004575
9393	coagulate_VERB	0.33510133624076843	0.3717082142829895	0.3753351867198944	0.2293712794780731
9394	darken_VERB	0.1800159364938736	0.244978740811348	0.22365722060203552	0.2596774697303772
9395	downshift_VERB	0.1896246522665024	0.21198399364948275	0.19764579832553866	0.2232566773891449
9396	evacuate_VERB	0.14181400835514069	0.1904171705245972	0.16789427399635315	0.10271215438842772
9397	jot_VERB	0.21792583167552948	0.3099542260169983	0.2581415772438049	0.20469729602336886
9398	memorize_VERB	0.20236197113990784	0.2919697165489197	0.26362067461013794	0.2724403440952301
9399	notice_VERB	0.2265360653400421	0.267208993434906	0.2442335784435272	0.24029381573200226
9400	relish_VERB	0.1954853981733322	0.19242307543754575	0.19309672713279724	0.23076610267162326
9401	sleepwalk_VERB	0.2414092123508453	0.1865067481994629	0.2246277779340744	0.25464463233947754
9402	agricultural_ADJ	0.2698302567005157	0.2746680676937103	0.2902619242668152	0.20728163421154025
9403	composite_ADJ	0.15773536264896393	0.17495548725128174	0.17947593331336975	0.15047632157802582
9404	retinal_ADJ	0.26071220636367803	0.2523569464683533	0.2534298300743103	0.2280219793319702
9405	sharper_ADJ	0.12538032233715055	0.17515327036380768	0.1393931359052658	0.20722803473472595
9406	stainless_ADJ	0.2814067602157593	0.3464159369468689	0.33759409189224243	0.1686815321445465
9407	unopened_ADJ	0.27234086394310003	0.3431112766265869	0.31428027153015137	0.14452168345451355
9408	viscous_ADJ	0.31198859214782715	0.3545835614204407	0.3488840460777283	0.25430554151535034
9409	warmer_ADJ	0.24141862988471985	0.2306651771068573	0.23788008093833926	0.2372496575117111
9410	absentee_NOUN	0.16359233856201172	0.12657251954078674	0.14713510870933533	0.1834767758846283
9411	aggressor_NOUN	0.17458751797676084	0.14295081794261932	0.1552945226430893	0.2955090701580048
9412	backlog_NOUN	0.1310650259256363	0.1576232612133026	0.1554415374994278	0.1983862817287445
9413	bandwagon_NOUN	0.18959785997867584	0.20675154030323029	0.2028365582227707	0.2313515245914459
9414	bargainer_NOUN	0.1456153690814972	0.18525347113609314	0.18094034492969516	0.20360605418682096
9415	blooper_NOUN	0.2130405157804489	0.2323819696903229	0.2256491482257843	0.24273642897605896
9416	brand_NOUN	0.19115015864372253	0.21556738018989566	0.21064028143882751	0.2565410733222961
9417	champ_NOUN	0.21642985939979556	0.17237699031829834	0.20915177464485168	0.17610937356948853
9418	comment_NOUN	0.1116628423333168	0.10248567909002304	0.1069979891180992	0.2189137637615204
9419	contraception_NOUN	0.18775977194309235	0.1953549087047577	0.19000554084777832	0.23700566589832306
9420	coupling_NOUN	0.2526480853557587	0.23883390426635745	0.23813152313232425	0.2627224028110504
9421	crybaby_NOUN	0.2727232873439789	0.19332589209079745	0.2393053323030472	0.254233181476593
9422	deathtrap_NOUN	0.2568041682243347	0.2733106911182404	0.2737873196601868	0.18439702689647675
9423	disciple_NOUN	0.2456799298524857	0.23553602397441864	0.2652726769447327	0.2863444685935974
9424	district_NOUN	0.12315981090068814	0.17942988872528076	0.16282029449939728	0.12859097123146054
9425	dowry_NOUN	0.2346450537443161	0.21869640052318573	0.2345648556947708	0.2257644385099411
9426	encryption_NOUN	0.1768692433834076	0.2053052932024002	0.1874020993709564	0.22308087348937988
9427	epilepsy_NOUN	0.2468184977769852	0.19703230261802676	0.22874054312705994	0.2311278283596039
9428	flatness_NOUN	0.21504554152488708	0.2752021253108978	0.2662579417228699	0.33571523427963257
9429	gazer_NOUN	0.2583645880222321	0.25973457098007197	0.25563791394233704	0.16633236408233645
9430	headwind_NOUN	0.16252562403678894	0.15106689929962158	0.16096755862236026	0.20545002818107605
9431	hock_NOUN	0.23087993264198306	0.2419413775205612	0.2441500723361969	0.1991283744573593
9432	horoscope_NOUN	0.1873866468667984	0.18141470849514008	0.1763944923877716	0.1789732575416565
9433	humorist_NOUN	0.2494388371706009	0.2251790761947632	0.2487248927354813	0.2455693185329437
9434	industry_NOUN	0.16251599788665771	0.13508477807044986	0.14464057981967926	0.1822618544101715
9435	marbling_NOUN	0.4062756597995758	0.4192900061607361	0.42349734902381897	0.28070443868637085
9436	narcolepsy_NOUN	0.31822195649147034	0.23478882014751434	0.2878095209598541	0.2401469498872757
9437	optics_NOUN	0.19887274503707889	0.2885079979896545	0.2367473542690277	0.20563724637031555
9438	part_NOUN	0.15199227631092072	0.1424080729484558	0.15531089901924133	0.1915224492549896
9439	poorhouse_NOUN	0.2539995312690735	0.2406664192676544	0.2374235093593597	0.2336375713348389
9440	pullout_NOUN	0.0970575287938118	0.1344553381204605	0.10787326097488403	0.2014490365982056
9441	reflection_NOUN	0.1545858532190323	0.1959539353847504	0.17792055010795593	0.35851365327835083
9442	rhyme_NOUN	0.3030973672866821	0.3416681289672852	0.3416692316532135	0.33132100105285645
9443	ricochet_NOUN	0.20181015133857727	0.18753144145011905	0.18987634778022766	0.22035208344459534
9444	roost_NOUN	0.4001087248325348	0.34694698452949524	0.3753597140312195	0.1689680814743042
9445	slouchy_NOUN	0.3066840767860413	0.4654357433319092	0.4267925322055817	0.2750043272972107
9446	stanza_NOUN	0.25236231088638306	0.3039918541908264	0.3049956262111664	0.23576250672340396
9447	successor_NOUN	0.1504681557416916	0.14286018908023834	0.13855531811714172	0.2095327824354172
9448	swinger_NOUN	0.27708134055137634	0.2512505650520325	0.2520333826541901	0.2055133879184723
9449	tormentor_NOUN	0.28645947575569153	0.1916261911392212	0.24947962164878845	0.2672296166419983
9450	voting_NOUN	0.08109226822853087	0.1151275485754013	0.0964568704366684	0.1668311208486557
9451	voyeur_NOUN	0.29201972484588623	0.25158122181892395	0.2686304450035095	0.30245187878608704
9452	warehousing_NOUN	0.16615822911262512	0.19197823107242584	0.19105586409568787	0.20040860772132876
9453	broke_VERB	0.13980942964553833	0.1209218055009842	0.14184650778770447	0.12908855080604553
9454	evaporate_VERB	0.17614489793777466	0.23788538575172424	0.2261984348297119	0.241153746843338
9455	gawk_VERB	0.27884441614151	0.32389283180236816	0.3195526003837585	0.2215644866228104
9456	hospitalize_VERB	0.1661304086446762	0.15572243928909302	0.15935006737709045	0.10390639305114746
9457	impregnate_VERB	0.28070223331451416	0.2723341286182404	0.28072136640548706	0.17353487014770508
9458	misspell_VERB	0.1918223351240158	0.1614004522562027	0.18535518646240234	0.2132083922624588
9459	resurface_VERB	0.17086856067180636	0.14438000321388245	0.1536513864994049	0.2141912877559662
9460	straggle_VERB	0.1635345071554184	0.17258676886558533	0.1803202331066132	0.13858309388160706
9461	supersize_VERB	0.2799757122993469	0.24874964356422424	0.2652973830699921	0.2123107612133026
9462	tarnish_VERB	0.14464882016181946	0.10732754319906236	0.14061155915260315	0.33522599935531616
9463	thrust_VERB	0.16337504982948306	0.17763526737689972	0.17469006776809692	0.1984533667564392
9464	acoustic_ADJ	0.2800813913345337	0.3956793546676636	0.35901024937629705	0.21517851948738095
9465	adrenal_ADJ	0.3350520431995392	0.2764364182949066	0.31807082891464233	0.28905606269836426
9466	bilingual_ADJ	0.18257048726081848	0.18674950301647186	0.1809951364994049	0.2215728461742401
9467	cardiopulmonary_ADJ	0.21542814373970032	0.1679057776927948	0.19356852769851685	0.18434782326221466
9468	colder_ADJ	0.2541529834270477	0.24298235774040225	0.2560599148273468	0.22663764655590055
9469	crowded_ADJ	0.17162278294563293	0.24144685268402102	0.21831324696540835	0.15232771635055542
9470	decaying_ADJ	0.247834250330925	0.2692809998989105	0.25702303647994995	0.2331874817609787
9471	frigid_ADJ	0.25875645875930786	0.2725802958011627	0.2698970437049866	0.21544261276721954
9472	geologic_ADJ	0.3071946501731873	0.2116180658340454	0.2742669880390167	0.2119612693786621
9473	muggy_ADJ	0.18689486384391785	0.24848321080207825	0.235957145690918	0.2028120458126068
9474	overgrown_ADJ	0.3363635540008545	0.3533868193626404	0.3408831357955933	0.2517610192298889
9475	pearly_ADJ	0.3075345456600189	0.36417603492736816	0.3315360248088837	0.2354541122913361
9476	periodontal_ADJ	0.2834508121013641	0.21525005996227264	0.25853559374809265	0.25899988412857056
9477	slow_ADJ	0.1825425624847412	0.15417948365211487	0.1734415888786316	0.268272340297699
9478	soggy_ADJ	0.27821141481399536	0.31656646728515625	0.3032864034175873	0.2040327787399292
9479	unhygienic_ADJ	0.3025036156177521	0.2406693249940872	0.2901957333087921	0.2589294910430908
9480	weekly_ADJ	0.11372213065624236	0.1306542009115219	0.12819914519786835	0.1249268501996994
9481	abolitionist_NOUN	0.18924936652183533	0.22484159469604487	0.2129155844449997	0.22959348559379575
9482	agitator_NOUN	0.19456306099891665	0.19149456918239596	0.19177815318107605	0.24921905994415286
9483	backspin_NOUN	0.20768630504608154	0.2304077595472336	0.22481349110603333	0.19111137092113492
9484	business_NOUN	0.1451236754655838	0.16455848515033722	0.15304869413375854	0.1818383038043976
9485	celebrity_NOUN	0.27452993392944336	0.2447299659252167	0.2623291015625	0.3000318109989166
9486	colostomy_NOUN	0.2072204351425171	0.236348956823349	0.22249364852905276	0.174107164144516
9487	convention_NOUN	0.13963104784488678	0.16374430060386658	0.14892759919166565	0.18191574513912198
9488	conversation_NOUN	0.15747082233428955	0.2314630746841431	0.20837922394275665	0.264771580696106
9489	copulation_NOUN	0.35543984174728394	0.2860958278179169	0.34729284048080444	0.2929629683494568
9490	crasher_NOUN	0.2997793257236481	0.2313147783279419	0.2656976282596588	0.2330251485109329
9491	embezzler_NOUN	0.2133723795413971	0.1597842276096344	0.19530105590820312	0.20068319141864774
9492	erotica_NOUN	0.2676152288913727	0.31084468960762024	0.30933114886283875	0.28983402252197266
9493	forelock_NOUN	0.3935586512088776	0.43796849250793457	0.4055992066860199	0.3148194253444672
9494	gleam_NOUN	0.2515934705734253	0.2986549437046051	0.2839501798152924	0.2935424745082855
9495	guardian_NOUN	0.22340579330921173	0.16521693766117096	0.2046736478805542	0.2427439242601395
9496	heatstroke_NOUN	0.22729673981666565	0.1933532953262329	0.21524667739868164	0.1894867718219757
9497	howler_NOUN	0.2446679770946503	0.1980995088815689	0.2201247960329056	0.21166960895061493
9498	illumination_NOUN	0.17732404172420502	0.3111453056335449	0.2521023154258728	0.2630840837955475
9499	incarceration_NOUN	0.14745941758155826	0.137580543756485	0.15378522872924805	0.26338499784469604
9500	jailbreak_NOUN	0.17637641727924347	0.14381374418735504	0.16388829052448273	0.1366351991891861
9501	learner_NOUN	0.21846362948417666	0.2019730508327484	0.21739153563976288	0.22680716216564176
9502	lifeline_NOUN	0.15230605006217954	0.17861688137054446	0.18762442469596866	0.1454620063304901
9503	lifer_NOUN	0.2742003798484802	0.19702030718326569	0.25717154145240784	0.2150588482618332
9504	overstock_NOUN	0.2898538708686829	0.2673938274383545	0.29419857263565063	0.2282364070415497
9505	overview_NOUN	0.1128418818116188	0.14346972107887268	0.13416817784309387	0.1718149036169052
9506	prayer_NOUN	0.18171972036361692	0.2427803575992584	0.21496137976646426	0.2183273732662201
